Year,FG%,FT%,AST,STL,REGULAR SEASON PTS,PLAYOFF PTS,Player
1,0.515,0.845,5.9,2.4,28.2,29.3,Michael Jordan
2,0.457,0.84,2.9,2.1,22.7,43.7,Michael Jordan
3,0.482,0.857,4.6,2.9,37.1,35.7,Michael Jordan
4,0.535,0.841,5.9,3.2,35,36.3,Michael Jordan
5,0.538,0.85,8,2.9,32.5,34.8,Michael Jordan
6,0.526,0.848,6.3,2.8,33.6,36.7,Michael Jordan
7,0.539,0.851,5.5,2.7,31.5,31.1,Michael Jordan
8,0.519,0.832,6.1,2.3,30.1,34.5,Michael Jordan
9,0.495,0.837,5.5,2.8,32.6,35.1,Michael Jordan
10,0.411,0.801,5.3,1.8,26.9,31.5,Michael Jordan
11,0.495,0.834,4.3,2.2,30.4,30.7,Michael Jordan
12,0.486,0.833,4.3,1.7,29.6,31.1,Michael Jordan
13,0.465,0.784,3.5,1.7,28.7,32.4,Michael Jordan
14,0.416,0.79,5.2,1.4,22.9,,Michael Jordan
15,0.445,0.821,3.8,1.5,20,,Michael Jordan
1,0.417,0.754,5.9,1.6,20.9,,LeBron James
2,0.472,0.75,7.2,2.2,27.2,,LeBron James
3,0.48,0.738,6.6,1.6,31.4,30.8,LeBron James
4,0.476,0.698,6,1.6,27.3,25.1,LeBron James
5,0.484,0.712,7.2,1.8,30,28.2,LeBron James
6,0.489,0.78,7.2,1.7,28.4,35.3,LeBron James
7,0.503,0.767,8.6,1.6,29.7,29.1,LeBron James
8,0.51,0.759,7,1.6,26.7,23.7,LeBron James
9,0.531,0.771,6.2,1.9,27.1,30.3,LeBron James
10,0.565,0.753,7.3,1.7,26.8,25.9,LeBron James
11,0.567,0.75,6.3,1.6,27.1,27.4,LeBron James
12,0.488,0.71,7.4,1.6,25.3,30.1,LeBron James
13,0.52,0.731,6.8,1.4,25.3,26.3,LeBron James
14,0.548,0.674,8.7,1.2,26.4,32.8,LeBron James
15,0.542,0.731,9.1,1.4,27.5,34,LeBron James
16,0.51,0.665,8.3,1.3,27.4,,LeBron James
17,0.493,0.693,10.2,1.2,25.3,27.6,LeBron James
18,0.513,0.698,7.8,1.1,25,23.3,LeBron James
19,0.524,0.756,6.2,1.3,30.3,,LeBron James
20,0.5,0.768,6.8,0.9,28.9,24.5,LeBron James
21,0.54,0.75,8.3,1.3,25.7,27.8,LeBron James
